query,neighbor,score,verdict
cheapest-flights-within-k-stops,minimum-cost-of-a-path-with-special-roads,0.641,partial
all-paths-from-source-to-target,all-ancestors-of-a-node-in-a-directed-acyclic-graph,0.641,mismatch
minimum-absolute-sum-difference,closest-subsequence-sum,0.640,mismatch
removing-stars-from-a-string,clear-digits,0.639,match
vowels-game-in-a-string,remove-colored-pieces-if-both-neighbors-are-the-same-color,0.639,mismatch
shortest-subarray-to-be-removed-to-make-array-sorted,smallest-subarrays-with-maximum-bitwise-or,0.639,mismatch
parallel-courses,sequence-reconstruction,0.638,match
number-of-distinct-roll-sequences,remove-boxes,0.638,mismatch
find-number-of-ways-to-reach-the-k-th-stair,climbing-stairs,0.636,partial
maximum-product-subarray,best-time-to-buy-and-sell-stock,0.635,mismatch
maximum-number-of-robots-within-budget,longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,0.634,match
queries-on-number-of-points-inside-a-circle,erect-the-fence-ii,0.633,mismatch
count-prefixes-of-a-given-string,counting-words-with-a-given-prefix,0.632,partial
reach-a-number,climbing-stairs,0.632,mismatch
number-of-ways-to-split-array,stone-game-v,0.632,mismatch
permutations-ii,subsets-ii,0.632,partial
maximum-length-of-repeated-subarray,longest-common-subpath,0.632,partial
most-frequent-even-element,count-the-number-of-vowel-strings-in-range,0.632,mismatch
count-the-number-of-vowel-strings-in-range,most-frequent-even-element,0.632,mismatch
min-max-game,find-score-of-an-array-after-marking-all-elements,0.631,mismatch
find-score-of-an-array-after-marking-all-elements,min-max-game,0.631,mismatch
can-i-win,stone-game-iv,0.631,partial
stone-game-iv,can-i-win,0.631,partial
min-cost-climbing-stairs,best-time-to-buy-and-sell-stock,0.631,mismatch
count-primes,distinct-prime-factors-of-product-of-array,0.631,mismatch
count-the-number-of-beautiful-subarrays,k-diff-pairs-in-an-array,0.630,mismatch
find-substring-with-given-hash-value,longest-happy-prefix,0.630,mismatch
check-if-a-string-is-an-acronym-of-words,count-prefixes-of-a-given-string,0.629,partial
wildcard-matching,regular-expression-matching,0.629,partial
rotting-oranges,shortest-path-in-a-grid-with-obstacles-elimination,0.628,partial
sort-list,remove-duplicates-from-sorted-list-ii,0.627,mismatch
minimum-operations-to-reduce-an-integer-to-0,number-of-1-bits,0.627,mismatch
find-minimum-time-to-finish-all-jobs,fair-distribution-of-cookies,0.626,match
fair-distribution-of-cookies,find-minimum-time-to-finish-all-jobs,0.626,match
longest-increasing-subsequence,length-of-longest-fibonacci-subsequence,0.626,partial
minimum-weighted-subgraph-with-the-required-paths,minimum-cost-of-a-path-with-special-roads,0.626,match
find-minimum-in-rotated-sorted-array-ii,kth-smallest-product-of-two-sorted-arrays,0.626,mismatch
tallest-billboard,best-time-to-buy-and-sell-stock,0.625,mismatch
minimum-sum-of-squared-difference,maximize-the-minimum-powered-city,0.624,match
group-anagrams,top-k-frequent-words,0.624,mismatch
maximum-number-of-pairs-in-array,most-frequent-even-element,0.623,mismatch
search-a-2d-matrix-ii,search-a-2d-matrix,0.623,mismatch
minimum-number-of-visited-cells-in-a-grid,the-maze-ii,0.623,partial
maximum-score-words-formed-by-letters,find-the-minimum-cost-array-permutation,0.623,mismatch
number-of-good-paths,number-of-connected-components-in-an-undirected-graph,0.622,match
minimum-absolute-difference-between-elements-with-constraint,minimum-absolute-sum-difference,0.622,mismatch
n-th-tribonacci-number,fibonacci-number,0.622,match
minimum-cost-to-make-at-least-one-valid-path-in-a-grid,minimum-obstacle-removal-to-reach-corner,0.621,match
number-of-substrings-with-fixed-ratio,substrings-that-begin-and-end-with-the-same-letter,0.621,mismatch
largest-triangle-area,find-the-largest-area-of-square-inside-two-rectangles,0.621,partial
k-closest-points-to-origin,find-k-closest-elements,0.620,partial
wiggle-sort,array-with-elements-not-equal-to-average-of-neighbors,0.620,match
array-with-elements-not-equal-to-average-of-neighbors,wiggle-sort,0.620,match
longest-binary-subsequence-less-than-or-equal-to-k,split-array-largest-sum,0.619,mismatch
kth-largest-element-in-an-array,top-k-frequent-elements,0.618,match
top-k-frequent-elements,kth-largest-element-in-an-array,0.618,match
longest-subarray-with-maximum-bitwise-and,maximum-subarray,0.617,mismatch
left-and-right-sum-differences,apply-operations-to-make-all-array-elements-equal-to-zero,0.617,mismatch
apply-operations-to-make-all-array-elements-equal-to-zero,left-and-right-sum-differences,0.617,mismatch
merge-k-sorted-lists,sort-list,0.617,partial
bitwise-ors-of-subarrays,bitwise-or-of-all-subsequence-sums,0.616,mismatch
bitwise-or-of-all-subsequence-sums,bitwise-ors-of-subarrays,0.616,mismatch
check-if-a-string-contains-all-binary-codes-of-size-k,unique-substrings-with-equal-digit-frequency,0.614,partial
unique-substrings-with-equal-digit-frequency,check-if-a-string-contains-all-binary-codes-of-size-k,0.614,partial
number-of-steps-to-reduce-a-number-to-zero,broken-calculator,0.614,partial
minimum-cost-to-convert-string-i,minimum-cost-to-convert-string-ii,0.614,match
minimum-cost-to-convert-string-ii,minimum-cost-to-convert-string-i,0.614,match
valid-parenthesis-string,decode-string,0.613,mismatch
different-ways-to-add-parentheses,the-score-of-students-solving-math-expression,0.613,match
the-score-of-students-solving-math-expression,different-ways-to-add-parentheses,0.613,match
single-threaded-cpu,course-schedule-iii,0.612,match
maximum-balanced-subsequence-sum,distribute-elements-into-two-arrays-ii,0.611,match
distribute-elements-into-two-arrays-ii,maximum-balanced-subsequence-sum,0.611,match
count-good-meals,find-the-distinct-difference-array,0.611,mismatch
find-the-distinct-difference-array,count-good-meals,0.611,mismatch
minimum-lines-to-represent-a-line-chart,find-the-number-of-ways-to-place-people-i,0.611,mismatch
ugly-number-ii,find-score-of-an-array-after-marking-all-elements,0.610,mismatch
delete-duplicate-folders-in-system,maximum-genetic-difference-query,0.610,mismatch
count-number-of-rectangles-containing-each-point,minimum-area-rectangle,0.609,mismatch
minimum-interval-to-include-each-query,number-of-flowers-in-full-bloom,0.609,partial
number-of-flowers-in-full-bloom,minimum-interval-to-include-each-query,0.609,partial
the-k-strongest-values-in-an-array,maximize-greatness-of-an-array,0.608,mismatch
maximize-greatness-of-an-array,the-k-strongest-values-in-an-array,0.608,mismatch
number-of-students-unable-to-eat-lunch,time-taken-to-cross-the-door,0.606,mismatch
number-of-subarrays-that-match-a-pattern-i,check-if-a-string-contains-all-binary-codes-of-size-k,0.606,mismatch
ugly-number-iii,kth-smallest-amount-with-single-denomination-combination,0.605,match
kth-smallest-amount-with-single-denomination-combination,ugly-number-iii,0.605,match
reverse-integer,count-special-integers,0.605,mismatch
longest-continuous-increasing-subsequence,best-time-to-buy-and-sell-stock,0.605,mismatch
palindrome-number,reverse-integer,0.604,match
short-encoding-of-words,longest-word-in-dictionary,0.604,mismatch
find-triangular-sum-of-an-array,find-the-n-th-value-after-k-seconds,0.604,partial
find-the-n-th-value-after-k-seconds,find-triangular-sum-of-an-array,0.604,partial
find-the-median-of-the-uniqueness-array,count-subarrays-with-median-k,0.604,mismatch
delete-nodes-from-linked-list-present-in-array,two-sum,0.604,mismatch
basic-calculator-iv,basic-calculator,0.603,mismatch
bitwise-xor-of-all-pairings,minimum-xor-sum-of-two-arrays,0.602,mismatch
get-equal-substrings-within-budget,maximum-number-of-robots-within-budget,0.601,partial
campus-bikes-ii,maximum-and-sum-of-array,0.601,match
minimum-cost-of-buying-candies-with-discount,partition-array-such-that-maximum-difference-is-k,0.601,partial
partition-array-such-that-maximum-difference-is-k,minimum-cost-of-buying-candies-with-discount,0.601,partial
subtree-of-another-tree,count-univalue-subtrees,0.601,mismatch
matrix-cells-in-distance-order,minimum-moves-to-spread-stones-over-grid,0.601,mismatch
sort-integers-by-the-power-value,minimum-number-of-operations-to-make-x-and-y-equal,0.601,match
disconnect-path-in-a-binary-matrix-by-at-most-one-flip,shortest-bridge,0.600,mismatch
check-if-binary-string-has-at-most-one-segment-of-ones,repeated-substring-pattern,0.599,mismatch
beautiful-arrangement-ii,detect-pattern-of-length-m-repeated-k-or-more-times,0.599,mismatch
detect-pattern-of-length-m-repeated-k-or-more-times,beautiful-arrangement-ii,0.599,mismatch
valid-word-square,find-the-string-with-lcp,0.599,mismatch
find-the-string-with-lcp,valid-word-square,0.599,mismatch
array-partition,sort-array-by-increasing-frequency,0.599,mismatch
minimum-operations-to-make-the-integer-zero,broken-calculator,0.599,mismatch
number-of-ways-to-separate-numbers,restore-the-array,0.599,match
same-tree,cousins-in-binary-tree-ii,0.598,mismatch
count-common-words-with-one-occurrence,count-pairs-of-similar-strings,0.598,mismatch
count-pairs-of-similar-strings,count-common-words-with-one-occurrence,0.598,mismatch
the-skyline-problem,count-number-of-rectangles-containing-each-point,0.598,mismatch
the-knights-tour,word-search,0.598,match
strange-printer,restore-the-array,0.598,mismatch
k-divisible-elements-subarrays,count-subarrays-with-fixed-bounds,0.597,mismatch
count-vowels-permutation,distinct-subsequences-ii,0.596,partial
maximum-points-after-collecting-coins-from-all-nodes,most-profitable-path-in-a-tree,0.596,partial
divide-array-into-equal-pairs,count-pairs-of-similar-strings,0.595,mismatch
recover-the-original-array,closest-subsequence-sum,0.595,mismatch
maximize-value-of-function-in-a-ball-passing-game,bitwise-ors-of-subarrays,0.595,mismatch
make-costs-of-paths-equal-in-a-binary-tree,maximum-score-after-applying-operations-on-a-tree,0.595,partial
reaching-points,reverse-integer,0.595,mismatch
make-a-square-with-the-same-color,number-of-black-blocks,0.594,partial
count-lattice-points-inside-a-circle,find-the-number-of-ways-to-place-people-i,0.594,mismatch
find-array-given-subset-sums,closest-subsequence-sum,0.594,mismatch
strange-printer-ii,build-a-matrix-with-conditions,0.593,partial
find-building-where-alice-and-bob-can-meet,minimum-interval-to-include-each-query,0.593,partial
average-height-of-buildings-in-each-segment,course-schedule-iii,0.592,mismatch
minimum-cost-to-make-array-equal,split-array-largest-sum,0.591,match
meeting-rooms-ii,course-schedule-iii,0.590,partial
minimum-edge-weight-equilibrium-queries-in-a-tree,count-complete-tree-nodes,0.589,mismatch
vowels-of-all-substrings,substrings-that-begin-and-end-with-the-same-letter,0.588,match
construct-the-lexicographically-largest-valid-sequence,subsets-ii,0.587,mismatch
minimize-manhattan-distances,find-the-number-of-ways-to-place-people-i,0.586,mismatch
merge-intervals,interval-list-intersections,0.586,partial
contains-duplicate-iii,jump-game-vii,0.586,mismatch
palindrome-permutation,minimum-number-of-moves-to-make-palindrome,0.586,mismatch
count-paths-that-can-form-a-palindrome-in-a-tree,longest-path-with-different-adjacent-characters,0.586,mismatch
minimum-height-trees,all-ancestors-of-a-node-in-a-directed-acyclic-graph,0.585,partial
longest-subsequence-repeated-k-times,maximum-repeating-substring,0.583,mismatch
brick-wall,find-the-distinct-difference-array,0.583,mismatch
longest-subsequence-with-limited-sum,shortest-subarray-with-sum-at-least-k,0.582,mismatch
amount-of-new-area-painted-each-day,longest-substring-of-one-repeating-character,0.582,partial
longest-substring-of-one-repeating-character,amount-of-new-area-painted-each-day,0.582,partial
alien-dictionary,all-ancestors-of-a-node-in-a-directed-acyclic-graph,0.581,match
number-of-longest-increasing-subsequence,find-number-of-ways-to-reach-the-k-th-stair,0.580,mismatch
calculate-digit-sum-of-a-string,restore-the-array,0.580,mismatch
parse-lisp-expression,basic-calculator,0.580,mismatch
last-moment-before-all-ants-fall-out-of-a-plank,movement-of-robots,0.579,match
movement-of-robots,last-moment-before-all-ants-fall-out-of-a-plank,0.579,match
add-binary,clear-digits,0.579,mismatch
evaluate-reverse-polish-notation,basic-calculator-ii,0.578,partial
parallel-courses-iii,parallel-courses-ii,0.577,partial
stickers-to-spell-word,shortest-path-visiting-all-nodes,0.577,match
the-number-of-beautiful-subsets,count-number-of-nice-subarrays,0.577,mismatch
minimum-operations-to-reduce-x-to-zero,apply-operations-to-make-all-array-elements-equal-to-zero,0.575,mismatch
loud-and-rich,all-ancestors-of-a-node-in-a-directed-acyclic-graph,0.575,partial
number-of-different-integers-in-a-string,decode-ways-ii,0.575,mismatch
process-tasks-using-servers,single-threaded-cpu,0.574,match
first-bad-version,find-minimum-in-rotated-sorted-array-ii,0.572,match
path-with-maximum-minimum-value,shortest-bridge,0.572,mismatch
partition-string-into-minimum-beautiful-substrings,optimal-partition-of-string,0.572,partial
jump-game-viii,minimum-cost-to-reach-city-with-discounts,0.570,partial
largest-perimeter-triangle,array-with-elements-not-equal-to-average-of-neighbors,0.570,mismatch
maximum-number-of-coins-you-can-get,k-items-with-the-maximum-sum,0.569,mismatch
k-items-with-the-maximum-sum,maximum-number-of-coins-you-can-get,0.569,mismatch
critical-connections-in-a-network,course-schedule,0.568,partial
median-of-two-sorted-arrays,count-of-smaller-numbers-after-self,0.568,partial
longest-chunked-palindrome-decomposition,minimum-number-of-moves-to-make-palindrome,0.568,match
minimum-cost-tree-from-leaf-values,make-costs-of-paths-equal-in-a-binary-tree,0.567,mismatch
most-beautiful-item-for-each-query,maximum-total-damage-with-spell-casting,0.567,mismatch
number-of-matching-subsequences,count-prefixes-of-a-given-string,0.566,mismatch
palindrome-pairs,word-break-ii,0.566,mismatch
last-stone-weight-ii,partition-equal-subset-sum,0.565,match
find-servers-that-handled-most-number-of-requests,process-tasks-using-servers,0.564,match
bricks-falling-when-hit,max-area-of-island,0.564,mismatch
game-of-nim,stone-game-viii,0.564,mismatch
most-stones-removed-with-same-row-or-column,number-of-provinces,0.563,match
guess-number-higher-or-lower-ii,predict-the-winner,0.563,match
the-latest-time-to-catch-a-bus,count-pairs-in-two-arrays,0.562,mismatch
escape-the-spreading-fire,minimum-moves-to-spread-stones-over-grid,0.562,mismatch
match-substring-after-replacement,camelcase-matching,0.562,mismatch
split-with-minimum-sum,array-partition,0.561,match
number-of-ways-to-reorder-array-to-get-same-bst,verify-preorder-sequence-in-binary-search-tree,0.561,mismatch
selling-pieces-of-wood,remove-boxes,0.560,match
transform-to-chessboard,remove-all-ones-with-row-and-column-flips-ii,0.560,mismatch
remove-all-ones-with-row-and-column-flips-ii,transform-to-chessboard,0.560,mismatch
tiling-a-rectangle-with-the-fewest-squares,construct-the-lexicographically-largest-valid-sequence,0.560,mismatch
gcd-sort-of-an-array,sort-array-by-increasing-frequency,0.559,mismatch
max-points-on-a-line,valid-boomerang,0.559,match
smallest-even-multiple,number-of-common-factors,0.559,mismatch
number-of-common-factors,smallest-even-multiple,0.559,mismatch
campus-bikes,campus-bikes-ii,0.558,partial
maximum-sum-queries,find-building-where-alice-and-bob-can-meet,0.557,partial
block-placement-queries,distribute-elements-into-two-arrays-ii,0.557,match
pascals-triangle-ii,best-time-to-buy-and-sell-stock,0.556,mismatch
falling-squares,amount-of-new-area-painted-each-day,0.556,match
find-number-of-coins-to-place-in-tree-nodes,maximum-score-after-applying-operations-on-a-tree,0.554,match
max-value-of-equation,minimize-manhattan-distances,0.554,mismatch
maximum-number-of-ways-to-partition-an-array,subarrays-with-k-different-integers,0.552,mismatch
count-subtrees-with-max-distance-between-cities,maximum-and-sum-of-array,0.549,mismatch
merge-similar-items,how-many-numbers-are-smaller-than-the-current-number,0.549,mismatch
palindrome-rearrangement-queries,palindrome-permutation,0.548,partial
minimum-one-bit-operations-to-make-integers-zero,reverse-bits,0.545,mismatch
add-bold-tag-in-string,word-break,0.543,partial
make-array-empty,count-the-number-of-k-big-indices,0.542,mismatch
number-of-ways-of-cutting-a-pizza,count-increasing-quadruplets,0.541,mismatch
count-increasing-quadruplets,number-of-ways-of-cutting-a-pizza,0.541,mismatch
sum-of-imbalance-numbers-of-all-subarrays,longest-continuous-increasing-subsequence,0.540,mismatch
count-the-number-of-ideal-arrays,ugly-number-iii,0.540,mismatch
count-valid-paths-in-a-tree,maximum-score-after-applying-operations-on-a-tree,0.537,mismatch
node-with-highest-edge-score,the-most-similar-path-in-a-graph,0.537,mismatch
k-th-smallest-in-lexicographical-order,maximum-xor-of-two-numbers-in-an-array,0.536,partial
count-k-subsequences-of-a-string-with-maximum-beauty,longest-substring-with-at-least-k-repeating-characters,0.536,mismatch
make-string-anti-palindrome,palindrome-permutation,0.533,mismatch
cracking-the-safe,valid-arrangement-of-pairs,0.533,match
increasing-triplet-subsequence,candy,0.529,mismatch
brace-expansion,word-break-ii,0.526,mismatch
first-unique-character-in-a-string,optimal-partition-of-string,0.520,mismatch
minimum-unique-word-abbreviation,stickers-to-spell-word,0.519,mismatch
perfect-rectangle,rectangle-area,0.515,mismatch
maximize-grid-happiness,maximum-strictly-increasing-cells-in-a-matrix,0.515,mismatch
evaluate-division,number-of-connected-components-in-an-undirected-graph,0.514,match
shopping-offers,minimum-number-of-coins-for-fruits,0.506,partial
remove-comments,check-if-binary-string-has-at-most-one-segment-of-ones,0.502,mismatch
queue-reconstruction-by-height,the-k-strongest-values-in-an-array,0.499,mismatch
number-of-atoms,basic-calculator,0.496,partial
cells-with-odd-values-in-a-matrix,transform-to-chessboard,0.495,mismatch
maximum-star-sum-of-a-graph,max-value-of-equation,0.493,partial
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,optimize-water-distribution-in-a-village,0.493,match
strictly-palindromic-number,valid-palindrome,0.492,mismatch
find-the-winner-of-the-circular-game,time-taken-to-cross-the-door,0.492,mismatch
teemo-attacking,time-taken-to-cross-the-door,0.492,mismatch
building-boxes,reach-a-number,0.490,match
strings-differ-by-one-character,count-common-words-with-one-occurrence,0.484,mismatch
dota2-senate,removing-stars-from-a-string,0.478,partial
maximum-vacation-days,cheapest-flights-within-k-stops,0.466,match
count-ways-to-distribute-candies,count-the-number-of-ideal-arrays,0.466,mismatch
next-greater-element-i,subarray-with-elements-greater-than-varying-threshold,0.461,mismatch
maximize-number-of-nice-divisors,apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,0.455,mismatch
